,O0,GA
0,731.5215369091653,730.8809186548076
1,731.2148037426718,730.0358825475704
2,731.1931335040657,730.0356488479621
3,731.1966750470176,730.02745459998
4,731.2314155492636,730.0294562473603
5,731.2077511720986,730.027643635429
6,731.2260552879644,730.038332660248
7,731.2071995638755,730.0278151698676
8,731.223309927702,730.0290440316312
9,731.2022540855876,730.0299250739913
10,731.2891038174329,730.024252866531
11,731.2465531849372,730.0294580814004
12,731.2065006438238,730.0316611383022
13,731.2264562719004,730.0358077906026
14,731.2164941744949,730.029122127746
15,731.2967189848139,730.0319279814072
16,731.2045115646208,730.0307871750083
17,731.211903400023,730.0343632460967
18,731.2437132263258,730.0364686974659
19,731.3962808548009,730.0333217339877
20,731.2588205640926,730.0264950355065
21,731.2230210042906,730.0321004752559
22,731.2513705561802,730.1743594253683
23,731.2278676892165,730.0283029228107
24,731.2087205672108,730.0358914122372
25,731.2367999523832,730.0270051438262
26,731.2129811566521,730.0320187451257
27,731.1972383192212,730.0382943173179
28,731.2017163624118,730.0311032041006
29,731.2057851966911,730.0350982323815
30,731.1997860439185,730.0289264946531
31,731.2251317396779,730.0313100479541
32,731.2215961249088,730.0351076957749
33,731.2318290829894,730.0349298647524
34,731.2786362383766,730.0322917874639
35,731.1933593987765,730.0830708840475
36,731.2036688901212,730.1540059049686
37,731.2107319417194,730.0277173472684
38,731.2088022015719,730.0316002920189
39,731.254314827655,730.0311631901322
40,731.2845947561171,730.0265081656927
41,731.2738671190823,730.0294643932397
42,731.1959957340001,730.0348928453172
43,731.2177356036321,730.0336265086476
44,731.1982877540013,730.0345692598703
45,731.316067206321,730.1090245163206
46,731.2165253987969,730.0468515003076
47,731.2427062315181,730.0319762994901
48,731.2134696275499,730.0291734077055
49,731.2629523738594,730.0276870526305
50,731.2063327986822,730.0317927690304
51,731.1998056767294,730.0281960858007
52,731.2467728859657,730.0250137158621
53,731.2164187924401,730.0319103684116
54,731.271521238049,730.0402391565538
55,731.2289091138299,730.030831619502
56,731.1947248359406,730.0552602241768
57,731.2029801296852,730.0307787944153
58,731.2161592311072,730.0306012324097
59,731.2363904579794,730.03807812001
60,731.2064221541365,730.032387307901
61,731.2329139515527,730.0332550013461
62,731.2155840607586,730.0308776741651
63,731.2047408941512,730.0957883629883
64,731.2102416580217,730.0319642532454
65,731.208210427698,730.0353279382007
66,731.2033767613624,730.0528631909361
67,731.2292958984797,730.0313545911564
68,731.2110702070465,730.0368057965217
69,731.2256267625673,730.0323675969502
70,731.201445945529,730.032076519301
71,731.2007623606145,730.03420187041
72,731.250038555657,730.0308070550075
73,731.2158051313858,730.0373261298965
74,731.2046706390712,730.0381069913251
75,731.1987913718449,730.0353457798585
76,731.2155831635233,730.0367526212102
77,731.2142925862486,730.0301860706638
78,731.2433769053836,730.0347921505063
79,731.2478995240813,730.0358502917451
80,731.2144348426524,730.0258421975011
81,731.2207621400934,730.0312402246648
82,731.2071825690798,730.0332052830661
83,731.196539339306,730.0316265188919
84,731.2828149430661,730.0367034273006
85,731.1946262056279,730.0357051569291
86,731.2064305436962,730.0347854231375
87,731.1977202567507,730.1570310251343
88,731.2055248609946,730.1400581119391
89,731.2076874789379,730.0317106435117
90,731.2239663463394,730.0378667894353
91,731.364849681217,730.0343232181331
92,731.2443997965895,730.0356691793569
93,731.2091560704431,730.0306275155223
94,731.202757649554,730.040832021134
95,731.2009810907906,730.2061528329151
96,731.3412994599769,730.0412507826846
97,731.2057388492539,730.1030329598386
98,731.2526111619428,730.0332992444248
99,731.271650213672,730.0283573502384
