,O0,O1,O2,O3,Os,Oz,cGA
0,13.491650784458267,13.461251292926493,13.454962330832146,13.479979463314871,13.527022668429185,13.487162332030712,13.434532923257212
1,13.483847498246702,13.450029091176344,13.457663657634985,13.44695788822975,13.472491634754231,13.486284993417561,13.326448979488575
2,13.503452389260987,13.483873225847493,13.443734399504029,13.465748114343965,13.441583996741334,13.494719638277777,13.331346392138629
3,13.462942057466135,13.464520244108048,13.444527840966824,13.455782987520564,13.458670580626698,13.528248321903636,13.316689762398134
4,13.505518380315277,13.44965806258237,13.447670507485746,13.459796866843478,13.461625415893039,13.529279955558945,13.344394677734469
5,13.481226019230904,13.46484071232821,13.463335006671027,13.466431370893494,13.489768626352772,13.494567281281343,13.3273581164598
6,13.461853525974787,13.470135923419381,13.505360710900742,13.46482527508284,13.478721165519673,13.46652241061884,13.339990876815282
7,13.539967680562055,13.533807363999541,13.457100197009044,13.467539551501861,13.458359040045412,13.562922991507687,13.34709466980421
8,13.454133124648594,13.485171304009855,13.468025451555848,13.48355366408662,13.454369705657008,13.457903509937925,13.35411700607231
9,13.531799641900696,13.499787541400641,13.459020925358171,13.47189059844683,13.460730104576097,13.461904561243719,13.341152221561643
10,13.469171848827042,13.44845711301337,13.446756697858218,13.449601719371277,13.485945927064167,13.471012372541708,13.333230093834223
11,13.468414370170795,13.48759070449532,13.451475341667189,13.449855977318949,13.45548343311902,13.497762766681845,13.342196406280621
12,13.449464967184001,13.455804219975835,13.45978414762509,13.460755851777735,13.465771435408387,13.53124384997203,13.32995390863414
13,13.454216994124698,13.453880920234834,13.458482733882265,13.454561708731577,13.488965934669599,13.456571511091898,13.419886709675891
14,13.47839464558824,13.462180075765588,13.462440695202444,13.135384685536382,13.47283787944843,13.524833593542223,13.34968552199239
15,13.509997901328607,13.550073917650153,13.47927078819857,13.471471331597305,13.456384978772373,13.464708271510666,13.365711423802189
16,13.457396659577963,13.467696452936856,13.44408820148278,13.463602316218196,13.514799240555382,13.462672912883573,13.348287725120084
17,13.49582964643091,13.479507332223934,13.485618816223694,13.468177445325303,13.472831314379349,13.444168884383048,13.35483963353862
18,13.483595087898662,13.461854827457108,13.45089233580674,13.461262540635886,13.462152294467204,13.472206578224199,13.387773993737063
19,13.456410481687403,13.481740755520295,13.499832181120757,13.51060256666597,13.4697662317988,13.558958215972874,13.356526355292182
20,13.452069561448647,13.467393687356962,13.546152567057637,13.506109023615485,13.440317921655252,13.46634779959591,13.353258016612614
21,13.454356274953577,13.449483866167954,13.491632828176254,13.46114755502832,13.473712542141788,13.51248128025909,13.334639822883531
22,13.480002601957182,13.454090269898296,13.516454986036523,13.459947806496173,13.457506710586138,13.4810994794718,13.36384968872997
23,13.454090033468324,13.467054059425834,13.453899480079999,13.483041088474915,13.48098191013583,13.47877859617956,13.34565237854165
24,13.462070328045636,13.49513671273808,13.448873433125904,13.459821899731876,13.491748797574546,13.484482790235198,13.340687579527032
25,13.471342887705426,13.45934370819456,13.471496560738188,13.472208139349007,13.46771990987705,13.467768202536273,13.34403817593446
26,13.49662104554195,13.480890665722546,13.460843075694283,13.507133873593993,13.52409052280779,13.516711218704003,13.353590850043576
27,13.537758823525627,13.453894506141543,13.473102374908514,13.4866981516534,13.451237055301434,13.464772821221734,13.36841095130588
28,13.149660184853245,13.473292088946094,13.482083236129023,13.455712721284945,13.531320210003992,13.465126698765904,13.33379590364499
